Date,Time,NY-15,Scada
01-06-2021,07:45:00,0.0,-9.69
01-06-2021,08:00:00,0.0,-25.24
01-06-2021,08:15:00,0.0,-34.47
01-06-2021,08:30:00,0.0,-45.78
01-06-2021,08:45:00,0.0,-86.46
01-06-2021,09:00:00,0.0,-103.31
01-06-2021,09:15:00,0.0,-110.95
01-06-2021,09:30:00,0.0,-125.81
01-06-2021,09:45:00,0.0,-133.28
01-06-2021,10:00:00,0.0,-155.26
01-06-2021,10:15:00,0.0,-149.89
01-06-2021,10:30:00,0.0,-147.85
01-06-2021,10:45:00,0.0,-170.89
01-06-2021,11:00:00,0.0,-183.37
01-06-2021,11:15:00,0.0,-180.64
01-06-2021,11:30:00,0.0,-179.72
01-06-2021,11:45:00,0.0,-184.29
01-06-2021,12:00:00,0.0,-204.93
01-06-2021,12:15:00,0.0,-200.54
01-06-2021,12:30:00,0.0,-203.36
01-06-2021,12:45:00,0.0,-216.05
01-06-2021,13:00:00,0.0,-208.35
01-06-2021,13:15:00,0.0,-195.93
01-06-2021,13:30:00,0.0,-209.52
01-06-2021,13:45:00,0.0,-210.01
01-06-2021,14:00:00,0.0,-218.53
01-06-2021,14:15:00,0.0,-210.27
01-06-2021,14:30:00,0.0,-198.09
01-06-2021,14:45:00,0.0,-167.35
01-06-2021,15:00:00,0.0,-171.3
01-06-2021,15:15:00,0.0,-159.95
01-06-2021,15:30:00,0.0,-161.2
01-06-2021,15:45:00,0.0,-159.91
01-06-2021,16:00:00,0.0,-209.28
01-06-2021,16:15:00,0.0,-211.19
01-06-2021,16:30:00,0.0,-218.35
01-06-2021,16:45:00,0.0,-230.39
01-06-2021,17:00:00,0.0,-244.82
01-06-2021,17:15:00,0.0,-251.09
01-06-2021,17:30:00,0.0,-262.45
01-06-2021,17:45:00,0.0,-262.3
01-06-2021,18:00:00,0.0,-266.75
01-06-2021,18:15:00,0.0,-268.38
01-06-2021,18:30:00,0.0,-253.87
01-06-2021,18:45:00,0.0,-259.6
01-06-2021,19:00:00,0.0,-265.42
01-06-2021,19:15:00,0.0,-272.39
01-06-2021,19:30:00,0.0,-263.22
01-06-2021,19:45:00,0.0,-298.31
01-06-2021,20:00:00,0.0,-318.54
01-06-2021,20:15:00,0.0,-331.27
01-06-2021,20:30:00,0.0,-314.16
01-06-2021,20:45:00,0.0,-307.22
01-06-2021,21:00:00,0.0,-328.56
01-06-2021,21:15:00,0.0,-314.36
01-06-2021,21:30:00,0.0,-320.92
01-06-2021,21:45:00,0.0,-319.36
01-06-2021,22:00:00,0.0,-301.85
01-06-2021,22:15:00,0.0,-278.92
01-06-2021,22:30:00,0.0,-255.67
01-06-2021,22:45:00,0.0,-264.45
01-06-2021,23:00:00,0.0,-240.19
01-06-2021,23:15:00,0.0,-239.2
01-06-2021,23:30:00,0.0,-254.57
01-06-2021,23:45:00,0.0,-257.02
02-06-2021,00:00:00,0.0,-249.14
02-06-2021,00:15:00,0.0,-251.6
02-06-2021,00:30:00,0.0,-244.95
02-06-2021,00:45:00,0.0,-241.03
02-06-2021,01:00:00,0.0,-244.12
02-06-2021,01:15:00,0.0,-240.17
02-06-2021,01:30:00,0.0,-243.47
02-06-2021,01:45:00,0.0,-251.54
02-06-2021,02:00:00,0.0,-250.74
02-06-2021,02:15:00,0.0,-235.03
02-06-2021,02:30:00,0.0,-228.43
