Date,Time,NU-06,Scada
01-06-2021,09:00:00,0.0,14.12
01-06-2021,09:15:00,0.0,16.28
01-06-2021,09:30:00,0.0,17.94
01-06-2021,09:45:00,0.0,18.54
01-06-2021,10:00:00,0.0,20.3
01-06-2021,10:15:00,0.0,23.1
01-06-2021,10:30:00,0.0,22.05
01-06-2021,10:45:00,0.0,23.7
01-06-2021,11:00:00,0.0,24.38
01-06-2021,11:15:00,0.0,26.04
01-06-2021,11:30:00,0.0,27.24
01-06-2021,11:45:00,0.0,27.05
01-06-2021,12:00:00,0.0,28.08
01-06-2021,12:15:00,0.0,28.32
01-06-2021,12:30:00,0.0,29.56
01-06-2021,12:45:00,0.0,30.7
01-06-2021,13:00:00,0.0,30.75
01-06-2021,13:15:00,0.0,31.42
01-06-2021,13:30:00,0.0,30.93
01-06-2021,13:45:00,0.0,29.17
01-06-2021,14:00:00,0.0,28.53
01-06-2021,14:15:00,0.0,27.28
01-06-2021,14:30:00,0.0,27.59
01-06-2021,14:45:00,0.0,26.85
01-06-2021,15:00:00,0.0,27.13
01-06-2021,15:15:00,0.0,25.41
01-06-2021,15:30:00,0.0,24.86
01-06-2021,15:45:00,0.0,25.3
01-06-2021,16:00:00,0.0,25.22
01-06-2021,16:15:00,0.0,26.5
01-06-2021,16:30:00,0.0,26.39
01-06-2021,16:45:00,0.0,26.62
01-06-2021,17:00:00,0.0,27.31
01-06-2021,17:15:00,0.0,26.92
01-06-2021,17:30:00,0.0,26.94
01-06-2021,17:45:00,0.0,27.15
01-06-2021,18:00:00,0.0,28.79
01-06-2021,18:15:00,0.0,30.68
01-06-2021,18:30:00,0.0,32.59
01-06-2021,18:45:00,0.0,33.36
01-06-2021,19:00:00,0.0,33.84
01-06-2021,19:15:00,0.0,36.36
01-06-2021,19:30:00,0.0,39.52
01-06-2021,19:45:00,0.0,42.36
01-06-2021,20:00:00,0.0,43.98
01-06-2021,20:15:00,0.0,44.88
01-06-2021,20:30:00,0.0,45.55
01-06-2021,20:45:00,0.0,45.17
01-06-2021,21:00:00,0.0,44.75
01-06-2021,21:15:00,0.0,45.46
01-06-2021,21:30:00,0.0,46.32
01-06-2021,21:45:00,0.0,47.58
01-06-2021,22:00:00,0.0,47.43
01-06-2021,22:15:00,0.0,45.6
01-06-2021,22:30:00,0.0,45.35
01-06-2021,22:45:00,0.0,44.89
01-06-2021,23:00:00,0.0,44.85
01-06-2021,23:15:00,0.0,44.19
01-06-2021,23:30:00,0.0,43.17
01-06-2021,23:45:00,0.0,43.19
02-06-2021,00:00:00,0.0,43.19
02-06-2021,00:15:00,0.0,43.24
02-06-2021,00:30:00,0.0,42.3
02-06-2021,00:45:00,0.0,42.2
02-06-2021,01:00:00,0.0,41.72
02-06-2021,01:15:00,0.0,41.27
02-06-2021,01:30:00,0.0,40.68
02-06-2021,01:45:00,0.0,40.1
02-06-2021,02:00:00,0.0,39.93
02-06-2021,02:15:00,0.0,39.71
02-06-2021,02:30:00,0.0,39.11
02-06-2021,02:45:00,0.0,37.82
02-06-2021,03:00:00,0.0,37.17
02-06-2021,03:15:00,0.0,36.75
02-06-2021,03:30:00,0.0,36.58
02-06-2021,03:45:00,0.0,35.15
02-06-2021,04:00:00,0.0,33.89
02-06-2021,04:15:00,0.0,33.13
02-06-2021,04:30:00,0.0,32.86
02-06-2021,04:45:00,0.0,32.54
02-06-2021,05:00:00,0.0,31.07
02-06-2021,05:15:00,0.0,28.19
02-06-2021,05:30:00,0.0,26.01
02-06-2021,05:45:00,0.0,23.95
02-06-2021,06:00:00,0.0,20.12
02-06-2021,06:15:00,0.0,15.89
02-06-2021,06:30:00,0.0,14.2
02-06-2021,06:45:00,0.0,13.71
02-06-2021,07:00:00,0.0,11.98
02-06-2021,07:15:00,0.0,12.25
02-06-2021,07:30:00,0.0,13.27
02-06-2021,07:45:00,0.0,15.02
02-06-2021,08:00:00,0.0,15.74
02-06-2021,08:15:00,0.0,18.09
02-06-2021,08:30:00,0.0,23.72
02-06-2021,08:45:00,0.0,26.45
02-06-2021,09:00:00,0.0,29.85
02-06-2021,09:15:00,0.0,36.26
02-06-2021,09:30:00,0.0,39.52
02-06-2021,09:45:00,0.0,40.46
02-06-2021,10:00:00,0.0,42.16
02-06-2021,10:15:00,0.0,44.41
02-06-2021,10:30:00,0.0,45.17
02-06-2021,10:45:00,0.0,45.1
02-06-2021,11:00:00,0.0,46.54
02-06-2021,11:15:00,0.0,47.83
02-06-2021,11:30:00,0.0,49.28
02-06-2021,11:45:00,0.0,48.85
02-06-2021,12:00:00,0.0,49.31
02-06-2021,12:15:00,0.0,48.42
02-06-2021,12:30:00,0.0,47.17
02-06-2021,12:45:00,0.0,46.24
02-06-2021,13:00:00,0.0,46.53
02-06-2021,13:15:00,0.0,45.26
02-06-2021,13:30:00,0.0,44.01
02-06-2021,13:45:00,0.0,44.03
02-06-2021,14:00:00,0.0,43.24
02-06-2021,14:15:00,0.0,41.43
02-06-2021,14:30:00,0.0,40.22
02-06-2021,14:45:00,0.0,39.52
02-06-2021,15:00:00,0.0,38.46
02-06-2021,15:15:00,0.0,37.8
02-06-2021,15:30:00,0.0,36.3
02-06-2021,15:45:00,0.0,34.93
02-06-2021,16:00:00,0.0,33.08
02-06-2021,16:15:00,0.0,30.81
02-06-2021,16:30:00,0.0,30.26
02-06-2021,16:45:00,0.0,30.08
02-06-2021,17:00:00,0.0,29.24
02-06-2021,17:15:00,0.0,28.81
02-06-2021,17:30:00,0.0,27.93
02-06-2021,17:45:00,0.0,28.61
02-06-2021,18:00:00,0.0,30.99
02-06-2021,18:15:00,0.0,34.16
02-06-2021,18:30:00,0.0,36.1
02-06-2021,18:45:00,0.0,37.21
02-06-2021,19:00:00,0.0,42.28
02-06-2021,19:15:00,0.0,48.74
02-06-2021,19:30:00,0.0,53.81
02-06-2021,19:45:00,0.0,52.83
02-06-2021,20:00:00,0.0,53.32
02-06-2021,20:15:00,0.0,52.87
02-06-2021,20:30:00,0.0,54.22
02-06-2021,20:45:00,0.0,51.92
02-06-2021,21:00:00,0.0,51.7
02-06-2021,21:15:00,0.0,51.69
02-06-2021,21:30:00,0.0,52.86
02-06-2021,21:45:00,0.0,54.62
02-06-2021,22:00:00,0.0,55.02
02-06-2021,22:15:00,0.0,55.02
02-06-2021,22:30:00,0.0,55.02
02-06-2021,22:45:00,0.0,53.86
02-06-2021,23:00:00,0.0,51.21
02-06-2021,23:15:00,0.0,52.11
02-06-2021,23:30:00,0.0,51.61
